name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Evening Run,Run,2024-03-28T02:29:13Z,1,81.6,144.6,3.43,6445.1,1879,True,157.0,3.642,1879,Run,0,8,0,0
Evening Run,Run,2024-03-27T02:12:15Z,1,81.2,151.3,3.412,8058.4,2362,True,166.0,3.648,2362,Run,0,5,0,0
Afternoon Run,Run,2024-03-25T18:32:00Z,1,,,3.353,6437.4,1920,False,,0,1920,Run,0,4,0,0
Evening Run,Run,2024-03-25T02:12:18Z,1,79.8,97.6,3.156,2717.4,2763,True,146.0,3.518,861,Run,0,9,0,0
Afternoon Run,Run,2024-03-21T23:27:40Z,1,82.7,150.0,3.114,1675.4,538,True,167.0,3.742,538,Run,0,4,0,0
Afternoon Run,Run,2024-03-21T22:54:40Z,1,83.4,142.0,3.578,1145.0,339,True,158.0,4.562,320,Run,0.0,5,0,0
Evening Run,Run,2024-03-19T02:01:45Z,1,81.1,155.6,3.311,6446.1,1947,True,170.0,3.552,1947,Run,0,6,0,0
Evening Run,Run,2024-03-18T03:20:43Z,1,84.8,132.5,3.446,5378.7,1894,True,151.0,3.774,1561,Run,0,8,0,0
Evening Run,Run,2024-03-18T02:26:42Z,1,82.1,131.3,2.957,1351.4,542,True,156.0,4.35,457,Run,0.0,8,0,0
Evening Run,Run,2024-03-11T03:30:31Z,1,78.8,140.7,2.714,4105.9,2580,True,154.0,4.155,1513,Run,6.7,10,0,0
Evening Run,Run,2024-03-09T03:15:12Z,1,80.9,142.9,3.169,6768.5,2305,True,155.0,6.19,2136,Run,0.0,4,0,0
Evening Ride,Ride,2024-03-07T03:55:35Z,1,,117.4,0.0,0.0,1708,True,134.0,0.0,1708,Ride,0,4,0,0
Evening Run,Run,2024-03-06T03:16:27Z,2,82.0,165.3,3.344,2471.5,1671,True,180.0,4.297,739,Run,0.0,4,0,0
Evening Run,Run,2024-03-06T02:07:59Z,10,85.3,161.5,4.298,8437.7,3213,True,184.0,7.986,1963,Run,0.0,13,2,0
Evening Ride,Ride,2024-03-04T04:34:37Z,1,,132.1,0.0,0.0,2861,True,168.0,0.0,2861,Ride,0,3,0,0
Afternoon Ride,Ride,2024-03-02T01:46:02Z,1,,122.5,0.0,0.0,3774,True,153.0,0.0,3774,Ride,0,5,0,0
Evening Ride,Ride,2024-03-01T02:48:48Z,1,,129.5,0.0,0.0,3357,True,154.0,0.0,3357,Ride,0,3,0,0
Afternoon Run,Run,2024-02-28T01:57:34Z,9,83.9,153.9,3.86,10620.0,5081,True,196.0,8.939,2751,Run,4.2,13,0,0
Evening Run,Run,2024-02-27T02:24:22Z,1,81.9,149.1,3.431,8066.2,2351,True,159.0,3.657,2351,Run,0,8,0,0
Evening Run,Run,2024-02-26T04:46:13Z,1,78.3,133.1,2.899,3606.7,1244,True,151.0,3.763,1244,Run,0,5,0,0
Afternoon Run,Run,2024-02-23T22:40:50Z,1,85.2,162.7,3.772,9742.5,3020,True,186.0,5.752,2583,Run,18.0,10,4,2
Evening Run,Run,2024-02-23T01:27:26Z,1,,,3.352,8108.9,3092,False,,7.16,2419,Run,10.3,3,1,0
Evening Run,Run,2024-02-22T00:35:10Z,1,,,3.698,8388.0,10346,False,,8.32,2268,Run,16.1,6,0,0
Afternoon Run,Run,2024-02-18T21:28:29Z,1,83.5,152.1,3.706,12874.7,4258,True,186.0,5.957,3474,Run,28.0,9,5,2
Evening Run,Run,2024-02-17T03:24:03Z,1,80.6,156.6,3.516,7126.2,2857,True,171.0,4.596,2027,Run,0.0,5,0,0
Afternoon Run,Run,2024-02-16T01:18:34Z,1,80.1,117.3,3.018,455.8,230,True,130.0,4.168,151,Run,0.0,4,0,0
Evening Run,Run,2024-02-15T02:06:27Z,1,82.0,140.3,3.239,3530.7,1939,True,157.0,4.882,1090,Run,4.0,4,0,0
