name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
in enemy territory 👽,Run,2024-03-26T00:09:59Z,4,86.8,,3.165,19408.8,8040,False,,4.445,6133,Run,147.2,28,1,0
triathlon run,Run,2024-03-23T17:29:01Z,1,86.8,,3.584,9375.2,2616,False,,6.21,2616,Run,68.6,22,5,2
triathlon bike,Ride,2024-03-23T15:45:11Z,2,,,6.49,39652.2,6161,False,,15.925,6110,Ride,460.5,22,0,0
triathlon mts swim,Swim,2024-03-23T15:09:28Z,1,,,0.25,500.0,2054,False,,1.924,1997,Swim,0,16,0,0
Evening Run,Run,2024-03-22T02:00:22Z,1,87.9,,3.195,7221.0,3254,False,,4.755,2260,Run,11.1,10,0,0
Evening Swim,Swim,2024-03-21T02:09:36Z,1,,,0.721,1950.0,3489,False,,9.0,2706,Swim,0,11,0,0
Morning Run,Run,2024-03-20T15:34:36Z,1,89.4,,3.298,4851.0,1509,False,,6.55,1471,Run,8.5,13,1,0
Evening Run,Run,2024-03-20T01:09:37Z,5,87.7,,3.871,7266.1,3250,False,,6.098,1877,Run,0.0,17,1,0
run with esmeralda 🤩,Run,2024-03-16T14:39:01Z,2,90.1,,2.874,5178.4,1812,False,,3.646,1802,Run,51.6,14,0,0
Morning Run,Run,2024-03-15T17:27:08Z,1,86.7,,3.375,5102.9,1599,False,,4.71,1512,Run,68.3,15,1,0
stair stepper did not prepare them for this,Walk,2024-03-13T19:53:31Z,1,52.6,,0.853,1884.4,6571,False,,1.778,2210,Walk,322.9,19,0,0
Morning Run,Run,2024-03-11T17:43:52Z,1,88.4,,3.532,4866.9,2149,False,,4.825,1378,Run,19.6,17,0,0
aloha mahalo,Run,2024-03-10T18:07:48Z,1,88.2,,3.307,16130.5,6406,False,,8.676,4877,Run,76.6,20,0,0
Lunch Run,Run,2024-03-06T20:07:33Z,1,88.8,,3.215,8082.7,2763,False,,5.768,2514,Run,11.1,12,1,1
Morning Swim,Swim,2024-03-06T16:18:51Z,1,,,0.851,1400.0,2696,False,,20.0,1645,Swim,0,8,0,0
Evening Run,Run,2024-03-06T02:04:01Z,10,88.6,,3.924,8182.4,4629,False,,7.122,2085,Run,0.0,20,2,0
Evening Ride,Ride,2024-03-05T03:01:11Z,1,,,0.0,0.0,2763,False,,0.0,2763,Ride,0,6,0,0
Evening Run,Run,2024-03-05T02:10:15Z,2,88.4,,3.295,4277.1,1836,False,,4.528,1298,Run,6.0,9,1,1
more volleyball,Workout,2024-03-02T22:13:12Z,1,64.1,,0.879,2013.7,13858,False,,3.253,2291,Workout,0.0,14,0,0
impressive jaunt,Run,2024-03-02T08:54:20Z,1,87.4,,2.88,207.4,91,False,,3.846,72,Run,0.0,8,0,0
volleyball,Workout,2024-03-01T22:55:04Z,1,62.9,,0.812,4056.2,10902,False,,4.475,4996,Workout,0.0,9,0,0
late but not actually late to vb,Run,2024-03-01T22:12:41Z,2,89.3,,3.075,1617.6,597,False,,4.843,526,Run,0.0,11,0,0
Morning Run,Run,2024-03-01T17:57:40Z,2,89.4,,3.18,5941.1,3016,False,,4.228,1868,Run,6.8,10,0,0
Afternoon Run,Run,2024-02-29T23:24:33Z,2,87.4,,3.249,12925.8,4636,False,,5.243,3978,Run,13.2,9,2,0
Afternoon Run,Run,2024-02-29T01:17:14Z,2,89.2,,3.074,6626.9,2286,False,,4.108,2156,Run,8.8,15,0,0
Evening Run,Run,2024-02-28T02:03:02Z,9,88.2,,3.805,8571.9,4564,False,,7.717,2253,Run,0.0,19,2,0
Morning Run,Run,2024-02-23T17:55:09Z,2,89.9,,3.148,6999.0,3215,False,,4.842,2223,Run,12.0,8,3,1
Afternoon Run,Run,2024-02-23T00:48:02Z,2,88.5,,3.037,8193.0,3168,False,,4.678,2698,Run,13.5,7,0,0
Evening Run,Run,2024-02-21T02:03:53Z,9,87.3,,3.616,9047.9,3972,False,,5.937,2502,Run,0.0,8,3,2
chillin in the rain,Run,2024-02-19T15:52:40Z,3,87.1,,2.906,5798.0,2428,False,,4.361,1995,Run,9.5,10,0,0
Morning Run,Run,2024-02-18T16:13:34Z,1,89.4,,3.12,5231.4,1677,False,,5.758,1677,Run,6.0,9,1,1
i love not running alone,Run,2024-02-17T00:32:26Z,2,87.8,,3.158,7689.4,2900,False,,4.47,2435,Run,6.5,8,1,0
Afternoon Run,Run,2024-02-16T00:03:54Z,1,85.7,,3.586,8064.4,2313,False,,4.994,2249,Run,2.3,12,1,0
Evening Swim,Swim,2024-02-15T03:10:12Z,1,,,0.746,2325.0,4471,False,,5.834,3118,Swim,0,9,0,0
Morning Run,Run,2024-02-14T16:10:21Z,1,88.1,,2.821,5634.1,2130,False,,5.142,1997,Run,5.1,8,0,0
Evening Run,Run,2024-02-14T02:03:25Z,7,87.9,,3.58,8990.0,3938,False,,5.86,2511,Run,0.0,15,2,1
biathlon,Run,2024-02-11T16:05:08Z,13,88.1,,3.856,4935.8,1292,False,,5.408,1280,Run,0.0,14,3,0
biathlon,Run,2024-02-11T15:15:02Z,23,90.3,,4.281,1943.4,456,False,,7.062,454,Run,0.0,12,2,0
sight seeing,Ride,2024-02-10T20:14:15Z,2,,,4.637,22574.8,8790,False,,9.687,4868,Ride,140.4,12,0,0
Morning Run,Run,2024-02-08T17:56:32Z,1,85.8,,3.394,9656.1,2845,False,,4.839,2845,Run,0,11,0,0
Evening Swim,Swim,2024-02-08T03:09:53Z,1,,,0.545,2100.0,6050,False,,1.138,3856,Swim,0,8,0,0
Evening Swim,Swim,2024-02-06T03:08:18Z,1,,,0.602,1975.0,4475,False,,16.112,3282,Swim,0,12,0,0
Morning Run,Run,2024-02-05T16:10:34Z,1,86.4,,3.174,5951.6,1875,False,,4.184,1875,Run,0,9,0,0
yes beach vb,Workout,2024-02-03T22:18:30Z,1,62.0,,1.562,8387.5,15453,False,,17.037,5370,Workout,50.2,11,0,0
trail blazing with tri,Run,2024-02-03T17:10:49Z,3,87.2,,3.026,13182.3,4851,False,,4.268,4357,Run,105.3,16,0,0
vbb,Workout,2024-02-02T23:27:48Z,1,66.2,,0.808,1614.6,5635,False,,3.13,1998,Workout,0.0,10,0,0
run w ian,Run,2024-02-02T18:11:37Z,1,87.3,,3.016,2943.3,1440,False,,5.226,976,Run,5.2,8,0,0
