name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Slimed In -Future,Run,2024-03-23T02:22:24Z,1,,171.9,3.202,5642.4,1830,True,179.0,4.486,1762,Run,13.8,2,0,0
Norf Norf -Vince Staples,Run,2024-03-20T01:03:09Z,1,,168.7,3.675,8264.7,4081,True,190.0,12.501,2249,Run,5.2,3,5,2
The Way I Are -Timbaland,WeightTraining,2024-03-19T19:25:25Z,1,,123.6,0.0,0.0,2875,True,159.0,0.0,2875,WeightTraining,0,2,0,0
Wise Man -Frank Ocean,Run,2024-03-14T22:48:37Z,1,,171.1,3.16,12951.5,4550,True,188.0,7.841,4099,Run,123.2,6,2,0
BLEACH -BROCKHAMPTON,Run,2024-03-12T22:11:33Z,1,,175.2,3.536,9901.7,3723,True,193.0,6.532,2800,Run,242.2,7,4,2
Mahogany -Lil Wayne,Run,2024-03-11T01:55:21Z,1,,172.3,3.657,6048.4,2050,True,186.0,9.771,1654,Run,19.2,6,2,2
Lord Pretty Flacko Joyde 2 -A$AP Rocky,WeightTraining,2024-03-06T19:55:50Z,1,,117.7,0.0,0.0,3014,True,148.0,0.0,3014,WeightTraining,0,2,0,0
MAMI -Chris Lorenzo,Run,2024-03-06T02:07:54Z,1,,175.8,3.444,8833.0,4724,True,196.0,9.082,2565,Run,9.0,3,3,1
Afternoon Run,Run,2024-03-01T22:12:42Z,2,,164.8,2.982,1639.9,631,True,178.0,4.508,550,Run,5.4,1,0,0
16 -Baby Keem,Run,2024-03-01T18:09:09Z,2,,169.9,3.132,5277.3,2326,True,182.0,4.624,1685,Run,15.4,4,1,0
The Difference -Flume,Run,2024-02-29T23:32:19Z,2,,177.0,3.218,11794.8,3961,True,187.0,4.407,3665,Run,32.4,6,5,1
Billie -Fred Again..,Run,2024-02-28T02:03:03Z,1,,166.8,3.509,6885.4,3568,True,196.0,8.82,1962,Run,11.0,7,5,2
Bath Salts -DMX (feat. JAY-Z & Nas),Run,2024-02-21T02:06:52Z,1,,171.6,3.579,5866.1,3801,True,191.0,7.192,1639,Run,20.0,3,8,1
Redlight -Swedish House Mafia,Ride,2024-02-20T23:15:50Z,1,,,9.183,19312.2,2103,False,,0,2103,Ride,0,5,0,0
Put on a Smile -Bruno Mars,Run,2024-02-20T01:07:35Z,2,,165.4,2.938,10164.5,3877,True,174.0,4.202,3460,Run,31.4,8,1,0
Cinderella -Mac Miller,Run,2024-02-18T21:41:12Z,2,,167.8,3.052,19399.8,8030,True,188.0,10.859,6357,Run,83.0,7,17,5
Time trial,Run,2024-02-17T03:58:19Z,1,,,4.922,1609.4,327,False,,0,327,Run,0,7,0,0
Summer 91 -Noizu,Run,2024-02-16T00:22:12Z,1,,156.5,2.895,4172.0,1772,True,169.0,6.641,1441,Run,12.6,3,0,0
CARNIVAL-Kanye,Run,2024-02-14T00:31:47Z,1,,172.7,3.362,10617.4,9498,True,194.0,6.398,3158,Run,8.6,6,9,5
Free smoke -Drake,Run,2024-02-13T00:21:44Z,1,,172.9,3.664,5001.3,1577,True,182.0,4.914,1365,Run,15.0,5,3,1
Cronut Run + Zack’s first run,Run,2024-02-11T20:54:10Z,1,,172.7,3.342,16107.1,6940,True,194.0,8.014,4820,Run,55.2,11,10,4
Afternoon Run,Run,2024-02-02T23:35:56Z,1,,170.4,3.582,5000.6,1637,True,182.0,5.328,1396,Run,11.0,2,2,0
Aan first run,Run,2024-01-31T20:25:38Z,2,,162.6,2.834,6450.6,2353,True,178.0,5.408,2276,Run,15.6,2,5,1
Track 1/30,Run,2024-01-31T02:03:37Z,1,,176.1,3.693,7106.2,3450,True,189.0,7.276,1924,Run,14.8,1,8,6
Track workout,Run,2024-01-24T02:02:13Z,1,,173.5,2.289,8402.8,4085,True,199.0,5.464,3671,Run,20.4,2,4,3
Afternoon Run,Run,2024-01-17T00:36:21Z,1,,177.6,3.03,3230.2,1172,True,187.0,4.292,1066,Run,8.4,3,0,0
