name,type,start_date,athlete_count,average_cadence,average_heartrate,average_speed,distance,elapsed_time,has_heartrate,max_heartrate,max_speed,moving_time,sport_type,total_elevation_gain,kudos_count,achievement_count,pr_count
Afternoon Run,Run,2024-05-01T00:54:20Z,2,82.3,142.6,8.071742401444478,6446.5,2039,True,156.0,4.807,1940,Run,6.6,8,1,1
Afternoon Run,Run,2024-04-29T23:39:46Z,1,81.9,139.1,8.544886906658173,10212.6,3578,True,154.0,4.45,3253,Run,7.7,9,2,1
Afternoon Run,Run,2024-04-27T20:35:57Z,3,81.7,148.2,7.999522815389203,16290.2,5343,True,171.0,5.266,4859,Run,44.7,14,0,0
Beer Mile,Run,2024-04-27T00:20:06Z,6,85.6,155.5,6.293383388080715,1824.1,673,True,181.0,6.35,428,Run,0.0,13,0,0
Afternoon Run,Run,2024-04-26T00:29:05Z,1,83.7,150.1,6.747773584905661,9767.1,4161,True,182.0,5.155,2457,Run,0.0,9,0,0
Afternoon Run,Run,2024-04-25T00:44:44Z,2,,,8.033063791554357,9660.1,3245,False,,4.522,2893,Run,19.0,8,0,0
Afternoon Run,Run,2024-04-24T00:17:22Z,2,,,8.03547034152187,9662.6,3171,False,,5.062,2895,Run,14.0,8,0,0
Coachella Run,Run,2024-04-21T17:55:01Z,2,81.5,166.9,8.566719897796231,13047.1,6511,True,191.0,3.585,4167,Run,40.7,16,0,0
Lunch Run,Run,2024-04-19T19:11:59Z,1,82.9,153.6,7.7521387283237,8054.3,3881,True,172.0,4.738,2328,Run,11.2,10,0,0
Afternoon Run,Run,2024-04-18T23:18:13Z,2,82.0,152.3,8.230254679349494,9718.1,3175,True,167.0,4.312,2982,Run,12.6,8,0,0
Evening Run,Run,2024-04-17T01:02:11Z,7,84.6,159.5,6.800811359026369,9944.0,4280,True,194.0,7.692,2521,Run,0.0,9,0,0
Afternoon Run,Run,2024-04-15T00:16:05Z,3,81.5,141.2,8.21764705882353,12886.1,4605,True,162.0,4.547,3948,Run,41.7,9,1,0
Afternoon Run,Run,2024-04-12T20:37:13Z,2,81.4,141.2,7.912212389380531,6450.9,2134,True,156.0,5.281,1903,Run,9.8,7,0,0
Evening Run,Run,2024-04-10T01:06:20Z,6,81.1,136.6,7.912212389380531,1610.3,475,True,146.0,3.913,475,Run,0.0,6,0,0
Evening Run,Run,2024-04-09T02:34:18Z,2,83.6,148.3,7.391127032240286,2449.5,794,True,166.0,7.47,675,Run,0.0,6,0,0
Evening Run,Run,2024-04-08T02:06:06Z,2,82.6,146.0,8.04511097780444,12880.5,4178,True,176.0,4.326,3863,Run,19.2,7,1,0
Afternoon Run,Run,2024-04-06T23:01:10Z,1,84.6,161.4,6.6888778054862845,9667.0,3321,True,185.0,6.677,2411,Run,16.7,14,1,0
Afternoon Run,Run,2024-04-05T00:08:09Z,1,82.3,150.3,8.071742401444478,9740.9,3245,True,169.0,4.297,2931,Run,29.0,6,1,0
Evening Run,Run,2024-04-04T02:49:54Z,1,76.8,129.3,10.481594372801876,2031.8,794,True,150.0,3.48,794,Run,0,7,0,0
Evening Run,Run,2024-04-03T02:02:41Z,2,88.7,167.4,8.599679384418083,832.6,270,True,182.0,5.622,267,Run,0.0,3,0,0
Evening Run,Run,2024-04-03T01:06:48Z,8,84.7,171.5,6.4,6601.3,2842,True,201.0,7.458,1575,Run,0.0,10,0,0
Evening Run,Run,2024-04-02T01:14:25Z,1,80.3,158.2,8.057194352658456,6648.1,2057,True,172.0,3.612,1997,Run,0,4,0,0
Lunch Run,Run,2024-03-31T18:07:21Z,1,80.0,136.4,8.265762711864406,8710.5,3129,True,160.0,5.052,2684,Run,0,6,0,0
Evening Run,Run,2024-03-31T02:12:35Z,1,69.2,114.0,11.83167181296868,1400.9,2344,True,138.0,3.833,618,Run,0.0,7,0,0
Evening Run,Run,2024-03-30T02:40:20Z,1,68.1,104.3,20.808688906128783,2173.1,1686,True,149.0,3.721,1686,Run,0,7,0,0
Evening Run,Run,2024-03-28T02:29:13Z,1,81.6,144.6,7.819941690962098,6445.1,1879,True,157.0,3.642,1879,Run,0,9,0,0
Evening Run,Run,2024-03-27T02:12:15Z,1,81.2,151.3,7.861195779601408,8058.4,2362,True,166.0,3.648,2362,Run,0,6,0,0
Afternoon Run,Run,2024-03-25T18:32:00Z,1,,,7.999522815389203,6437.4,1920,False,,0,1920,Run,0,5,0,0
Evening Run,Run,2024-03-25T02:12:18Z,1,79.8,97.6,8.498859315589353,2717.4,2763,True,146.0,3.518,861,Run,0,9,0,0
Afternoon Run,Run,2024-03-21T23:27:40Z,1,82.7,150.0,8.613487475915223,1675.4,538,True,167.0,3.742,538,Run,0,4,0,0
Afternoon Run,Run,2024-03-21T22:54:40Z,1,83.4,142.0,7.496478479597541,1145.0,339,True,158.0,4.562,320,Run,0.0,5,0,0
Evening Run,Run,2024-03-19T02:01:45Z,1,81.1,155.6,8.100996677740865,6446.1,1947,True,170.0,3.552,1947,Run,0,6,0,0
Evening Run,Run,2024-03-18T03:20:43Z,1,84.8,132.5,7.783633197910622,5378.7,1894,True,151.0,3.774,1561,Run,0,8,0,0
Evening Run,Run,2024-03-18T02:26:42Z,1,82.1,131.3,9.070815015218127,1351.4,542,True,156.0,4.35,457,Run,0.0,8,0,0
Evening Run,Run,2024-03-11T03:30:31Z,1,78.8,140.7,9.882977155490053,4105.9,2580,True,154.0,4.155,1513,Run,6.7,10,0,0
Evening Run,Run,2024-03-09T03:15:12Z,1,80.9,142.9,8.463994951088672,6768.5,2305,True,155.0,6.19,2136,Run,0.0,4,0,0
Evening Ride,Ride,2024-03-07T03:55:35Z,1,,117.4,0.0,0.0,1708,True,134.0,0.0,1708,Ride,0,4,0,0
Evening Run,Run,2024-03-06T03:16:27Z,2,82.0,165.3,8.021052631578948,2471.5,1671,True,180.0,4.297,739,Run,0.0,4,0,0
Evening Run,Run,2024-03-06T02:07:59Z,10,85.3,161.5,6.240670079106561,8437.7,3213,True,184.0,7.986,1963,Run,0.0,13,2,0
Evening Ride,Ride,2024-03-04T04:34:37Z,1,,132.1,0.0,0.0,2861,True,168.0,0.0,2861,Ride,0,3,0,0
Afternoon Ride,Ride,2024-03-02T01:46:02Z,1,,122.5,0.0,0.0,3774,True,153.0,0.0,3774,Ride,0,5,0,0
Evening Ride,Ride,2024-03-01T02:48:48Z,1,,129.5,0.0,0.0,3357,True,154.0,0.0,3357,Ride,0,3,0,0
Afternoon Run,Run,2024-02-28T01:57:34Z,9,83.9,153.9,6.948808290155442,10620.0,5081,True,196.0,8.939,2751,Run,4.2,13,0,0
